id_paquete;peso;descripcion
302;8.5;Fragil
303;9.4;Fragil
304;10.3;Sin descripcion
305;1.2;Fragil
306;9.9;Sin descripcion
307;2.1;Sin descripcion
308;5.8;Fragil
309;1.6;Fragil
310;6.3;Fragil
311;3.8;Sin descripcion
312;2.1;Fragil
313;5.6;Sin descripcion
314;4.5;Fragil
315;3.4;Sin descripcion
316;4.2;Fragil
317;3.5;Fragil
318;5.8;Sin descripcion
319;4.6;Fragil
320;1.0;Sin descripcion
321;1.7;Sin descripcion
322;2.7;Fragil
323;1.1;Fragil
324;7.0;Fragil
325;8.9;Fragil
326;7.6;Fragil
327;4.0;Sin descripcion
328;2.3;Sin descripcion
329;10.4;Sin descripcion
330;10.5;Fragil
331;2.8;Sin descripcion
332;3.8;Fragil
333;4.5;Fragil
334;7.9;Sin descripcion
335;8.5;Sin descripcion
336;8.8;Fragil
337;6.9;Sin descripcion
338;9.7;Fragil
339;5.5;Fragil
340;9.2;Fragil
341;5.5;Sin descripcion
342;1.0;Fragil
343;1.1;Fragil
344;6.6;Sin descripcion
345;6.1;Sin descripcion
346;5.1;Sin descripcion
347;5.5;Fragil
348;7.7;Sin descripcion
349;1.4;Fragil
350;1.4;Sin descripcion
351;2.3;Sin descripcion
352;1.3;Fragil
353;2.0;Fragil
354;3.1;Sin descripcion
355;1.3;Sin descripcion
356;10.0;Sin descripcion
357;3.0;Sin descripcion
358;7.2;Sin descripcion
359;5.4;Fragil
360;3.3;Sin descripcion
361;10.9;Fragil
362;7.2;Fragil
363;3.0;Fragil
364;3.4;Fragil
365;1.4;Sin descripcion
366;2.1;Fragil
367;7.9;Sin descripcion
368;4.2;Fragil
369;10.2;Fragil
370;3.9;Sin descripcion
371;7.8;Sin descripcion
372;4.4;Fragil
373;5.1;Sin descripcion
374;4.0;Sin descripcion
375;1.3;Fragil
376;1.8;Fragil
377;8.0;Sin descripcion
378;3.9;Sin descripcion
379;2.1;Sin descripcion
380;9.1;Fragil
381;5.3;Sin descripcion
382;7.9;Sin descripcion
383;7.0;Fragil
384;3.7;Sin descripcion
385;5.2;Fragil
386;3.5;Sin descripcion
387;8.8;Fragil
388;5.7;Sin descripcion
389;3.8;Fragil
390;9.3;Fragil
391;8.7;Sin descripcion
392;8.9;Sin descripcion
393;5.4;Fragil
394;6.6;Sin descripcion
395;4.8;Sin descripcion
396;2.7;Sin descripcion
397;3.5;Sin descripcion
398;2.9;Fragil
399;4.0;Fragil
400;3.4;Fragil
401;1.3;Sin descripcion
402;4.3;Sin descripcion
403;2.1;Fragil
404;7.1;Sin descripcion
405;2.5;Fragil
406;8.9;Fragil
407;9.0;Fragil
408;8.0;Sin descripcion
409;2.6;Fragil
410;3.8;Sin descripcion
411;8.5;Fragil
412;1.0;Sin descripcion
413;4.4;Fragil
414;7.0;Fragil
415;2.6;Fragil
416;4.9;Sin descripcion
417;2.8;Fragil
418;4.2;Sin descripcion
419;9.3;Sin descripcion
420;5.0;Fragil
421;10.0;Fragil
422;4.8;Sin descripcion
423;2.5;Fragil
424;8.9;Sin descripcion
425;1.7;Fragil
426;8.6;Sin descripcion
427;9.2;Fragil
428;8.7;Fragil
429;7.3;Sin descripcion
430;8.1;Fragil
431;9.1;Sin descripcion
432;7.4;Fragil
433;8.2;Fragil
434;6.4;Fragil
435;7.1;Sin descripcion
436;10.4;Fragil
437;1.3;Sin descripcion
438;8.3;Fragil
439;2.5;Sin descripcion
440;7.7;Sin descripcion
441;4.9;Sin descripcion
442;9.7;Sin descripcion
443;9.2;Sin descripcion
444;10.4;Sin descripcion
445;3.8;Sin descripcion
446;3.2;Sin descripcion
447;2.4;Fragil
448;3.3;Sin descripcion
449;9.8;Fragil
450;9.7;Sin descripcion
451;7.2;Sin descripcion
452;6.7;Fragil
453;2.3;Fragil
454;8.1;Fragil
455;5.1;Fragil
456;3.6;Sin descripcion
457;6.4;Sin descripcion
458;5.6;Fragil
459;9.8;Fragil
460;2.4;Fragil
461;8.5;Fragil
462;1.5;Sin descripcion
463;9.9;Fragil
464;2.6;Fragil
465;6.6;Fragil
466;5.5;Fragil
467;9.7;Sin descripcion
468;9.9;Fragil
469;9.7;Sin descripcion
470;3.4;Fragil
471;2.8;Sin descripcion
472;10.0;Sin descripcion
473;3.2;Fragil
474;6.2;Sin descripcion
475;1.9;Sin descripcion
476;9.9;Fragil
477;5.0;Fragil
478;5.4;Fragil
479;3.9;Fragil
480;3.5;Sin descripcion
481;3.5;Fragil
482;8.9;Fragil
483;1.6;Sin descripcion
484;4.5;Sin descripcion
485;2.7;Fragil
486;5.5;Fragil
487;4.7;Sin descripcion
488;3.9;Fragil
489;8.7;Sin descripcion
490;9.6;Sin descripcion
491;1.1;Sin descripcion
492;3.3;Fragil
493;4.1;Fragil
494;9.9;Sin descripcion
495;1.5;Sin descripcion
496;1.9;Sin descripcion
497;5.8;Fragil
498;2.9;Sin descripcion
499;3.9;Fragil
500;10.6;Fragil
501;9.3;Sin descripcion
502;10.4;Sin descripcion
503;5.0;Sin descripcion
504;3.2;Fragil
505;7.7;Sin descripcion
506;7.4;Sin descripcion
507;1.0;Sin descripcion
508;7.9;Sin descripcion
509;7.7;Sin descripcion
510;9.7;Sin descripcion
511;8.8;Fragil
512;6.1;Sin descripcion
513;8.7;Fragil
514;3.5;Sin descripcion
515;10.1;Sin descripcion
516;2.8;Fragil
517;5.7;Sin descripcion
518;8.3;Fragil
519;9.1;Fragil
520;9.6;Fragil
521;3.3;Fragil
522;1.3;Sin descripcion
523;4.2;Fragil
524;2.2;Sin descripcion
525;6.5;Sin descripcion
526;6.9;Sin descripcion
527;6.2;Sin descripcion
528;1.9;Fragil
529;3.8;Fragil
530;3.0;Sin descripcion
531;2.2;Fragil
532;7.4;Sin descripcion
533;3.9;Sin descripcion
534;10.1;Fragil
535;5.8;Fragil
536;1.9;Fragil
537;5.9;Fragil
538;4.4;Fragil
539;9.6;Sin descripcion
540;1.7;Fragil
541;10.2;Fragil
542;6.9;Fragil
543;4.9;Fragil
544;8.7;Fragil
545;9.9;Sin descripcion
546;4.9;Sin descripcion
547;4.1;Sin descripcion
548;1.2;Fragil
549;5.0;Fragil
550;6.1;Fragil
551;7.0;Fragil
552;3.0;Fragil
553;7.0;Fragil
554;5.9;Fragil
555;6.1;Fragil
556;5.3;Fragil
557;10.3;Sin descripcion
558;1.6;Fragil
559;2.8;Sin descripcion
560;10.9;Fragil
561;6.8;Sin descripcion
562;6.9;Sin descripcion
563;9.0;Sin descripcion
564;4.2;Fragil
565;9.6;Fragil
566;6.0;Sin descripcion
567;5.9;Sin descripcion
568;2.3;Sin descripcion
569;9.8;Fragil
570;7.9;Fragil
571;8.4;Fragil
572;10.0;Fragil
573;10.0;Sin descripcion
574;8.5;Fragil
575;4.0;Fragil
576;8.7;Sin descripcion
577;4.9;Sin descripcion
578;6.8;Sin descripcion
579;3.0;Fragil
580;4.2;Sin descripcion
581;10.8;Sin descripcion
582;10.3;Sin descripcion
583;3.8;Fragil
584;7.0;Fragil
585;2.4;Sin descripcion
586;10.9;Fragil
587;2.3;Sin descripcion
588;7.3;Sin descripcion
589;5.4;Sin descripcion
590;7.8;Sin descripcion
591;7.9;Fragil
592;3.9;Sin descripcion
593;7.1;Sin descripcion
594;2.6;Sin descripcion
595;7.2;Sin descripcion
596;1.2;Sin descripcion
597;7.2;Fragil
598;7.2;Fragil
599;7.7;Sin descripcion
600;4.8;Sin descripcion
601;8.4;Fragil
602;4.0;Fragil
603;3.7;Sin descripcion
604;4.0;Sin descripcion
605;9.7;Fragil
606;7.1;Sin descripcion
607;6.7;Fragil
608;4.0;Sin descripcion
609;3.5;Fragil
610;7.9;Sin descripcion
611;2.8;Fragil
612;7.4;Sin descripcion
613;2.4;Sin descripcion
614;3.7;Sin descripcion
615;1.3;Sin descripcion
616;5.7;Sin descripcion
617;8.7;Sin descripcion
618;1.3;Fragil
619;1.9;Sin descripcion
620;1.6;Sin descripcion
621;1.1;Fragil
622;10.4;Fragil
623;7.2;Fragil
624;9.6;Fragil
625;6.3;Fragil
626;4.9;Fragil
627;2.4;Fragil
628;8.7;Fragil
629;8.0;Sin descripcion
630;3.6;Fragil
631;7.1;Fragil
632;7.5;Sin descripcion
633;8.1;Sin descripcion
634;7.5;Sin descripcion
635;3.9;Fragil
636;6.2;Fragil
637;9.9;Sin descripcion
638;5.7;Sin descripcion
639;5.0;Fragil
640;10.0;Fragil
641;4.2;Fragil
642;3.5;Fragil
643;7.8;Fragil
644;10.8;Fragil
645;10.5;Fragil
646;4.0;Sin descripcion
647;8.3;Fragil
648;9.4;Fragil
649;8.2;Fragil
650;1.7;Fragil
651;8.2;Fragil
652;3.8;Fragil
653;3.4;Sin descripcion
654;2.3;Sin descripcion
655;1.4;Fragil
656;7.9;Sin descripcion
657;8.1;Fragil
658;7.1;Sin descripcion
659;3.2;Fragil
660;10.1;Sin descripcion
661;6.1;Sin descripcion
662;5.3;Fragil
663;5.0;Sin descripcion
664;10.3;Sin descripcion
665;8.6;Sin descripcion
666;4.1;Fragil
667;9.5;Fragil
668;9.3;Fragil
669;2.2;Fragil
670;5.8;Fragil
671;7.7;Fragil
672;1.7;Fragil
673;1.1;Fragil
674;6.8;Sin descripcion
675;7.0;Sin descripcion
676;3.5;Fragil
677;3.5;Sin descripcion
678;9.4;Sin descripcion
679;5.3;Fragil
680;1.4;Sin descripcion
681;6.4;Fragil
682;9.2;Sin descripcion
683;4.1;Sin descripcion
684;1.8;Fragil
685;4.3;Sin descripcion
686;5.8;Fragil
687;4.4;Sin descripcion
688;2.3;Sin descripcion
689;10.9;Sin descripcion
690;7.1;Fragil
691;1.8;Sin descripcion
692;6.5;Fragil
693;6.6;Fragil
694;10.6;Sin descripcion
695;2.1;Sin descripcion
696;8.9;Fragil
697;7.0;Fragil
698;6.2;Sin descripcion
699;6.5;Fragil
700;4.2;Sin descripcion
701;3.8;Fragil
702;10.0;Sin descripcion
703;4.6;Fragil
704;6.2;Fragil
705;3.7;Sin descripcion
706;9.0;Fragil
707;3.7;Sin descripcion
708;1.7;Sin descripcion
709;8.5;Sin descripcion
710;6.1;Fragil
711;8.6;Fragil
712;10.2;Fragil
713;9.6;Fragil
714;7.8;Sin descripcion
715;8.0;Fragil
716;7.3;Sin descripcion
717;3.0;Fragil
718;1.9;Fragil
719;2.6;Sin descripcion
720;6.8;Fragil
721;9.2;Sin descripcion
722;1.9;Fragil
723;5.2;Fragil
724;4.7;Fragil
725;8.0;Sin descripcion
726;10.5;Fragil
727;6.9;Fragil
728;3.2;Fragil
729;5.6;Sin descripcion
730;5.6;Sin descripcion
731;9.7;Fragil
732;6.7;Fragil
733;6.1;Fragil
734;9.2;Fragil
735;2.5;Sin descripcion
736;6.4;Fragil
737;1.0;Fragil
738;2.4;Fragil
739;4.4;Fragil
740;7.7;Fragil
741;5.9;Sin descripcion
742;7.1;Fragil
743;9.8;Fragil
744;1.3;Sin descripcion
745;3.8;Fragil
746;1.1;Sin descripcion
747;7.0;Sin descripcion
748;1.7;Sin descripcion
749;9.8;Sin descripcion
750;3.1;Fragil
751;6.6;Sin descripcion
752;4.9;Fragil
753;8.3;Fragil
754;6.8;Sin descripcion
755;3.9;Sin descripcion
756;5.7;Fragil
757;9.9;Fragil
758;4.8;Sin descripcion
759;3.3;Sin descripcion
760;3.1;Fragil
761;2.4;Fragil
762;2.4;Sin descripcion
763;10.9;Fragil
764;5.7;Fragil
765;6.3;Sin descripcion
766;5.6;Sin descripcion
767;7.3;Sin descripcion
768;3.1;Fragil
769;6.7;Sin descripcion
770;5.8;Fragil
771;6.6;Fragil
772;3.6;Sin descripcion
773;8.5;Fragil
774;4.8;Sin descripcion
775;7.7;Sin descripcion
776;10.2;Sin descripcion
777;5.5;Sin descripcion
778;5.0;Sin descripcion
779;1.9;Sin descripcion
780;5.5;Fragil
781;5.4;Sin descripcion
782;9.7;Fragil
783;10.4;Sin descripcion
784;9.2;Sin descripcion
785;6.6;Sin descripcion
786;4.5;Sin descripcion
787;7.3;Sin descripcion
788;5.1;Sin descripcion
789;9.7;Sin descripcion
790;1.0;Sin descripcion
791;2.6;Fragil
792;8.3;Sin descripcion
793;5.3;Fragil
794;4.9;Fragil
795;9.0;Sin descripcion
796;6.7;Fragil
797;6.8;Fragil
798;4.1;Sin descripcion
799;3.5;Sin descripcion
800;5.9;Fragil
801;9.6;Sin descripcion
802;10.4;Sin descripcion
803;1.9;Fragil
804;10.4;Sin descripcion
805;1.3;Fragil
806;5.2;Fragil
807;3.2;Fragil
808;5.6;Sin descripcion
809;4.5;Sin descripcion
810;9.4;Sin descripcion
811;4.4;Sin descripcion
812;7.7;Sin descripcion
813;2.2;Sin descripcion
814;3.5;Sin descripcion
815;3.8;Sin descripcion
816;4.5;Sin descripcion
817;3.9;Fragil
818;10.3;Sin descripcion
819;1.7;Fragil
820;5.5;Sin descripcion
821;5.9;Fragil
822;2.2;Fragil
823;6.8;Sin descripcion
824;1.8;Fragil
825;10.8;Fragil
826;9.5;Sin descripcion
827;4.4;Sin descripcion
828;9.6;Fragil
829;10.1;Fragil
830;7.7;Fragil
831;2.5;Fragil
832;8.5;Fragil
833;5.5;Sin descripcion
834;7.1;Sin descripcion
835;9.4;Fragil
836;6.9;Fragil
837;6.2;Fragil
838;4.8;Fragil
839;10.7;Fragil
840;7.5;Sin descripcion
841;7.4;Fragil
842;10.3;Sin descripcion
843;1.5;Sin descripcion
844;5.2;Sin descripcion
845;6.8;Fragil
846;5.3;Fragil
847;4.5;Fragil
848;3.4;Sin descripcion
849;6.8;Fragil
850;7.7;Fragil
851;8.4;Fragil
852;7.7;Sin descripcion
853;8.5;Sin descripcion
854;6.9;Sin descripcion
855;3.1;Fragil
856;6.8;Fragil
857;5.3;Fragil
858;7.4;Sin descripcion
859;3.1;Sin descripcion
860;9.8;Sin descripcion
861;10.0;Sin descripcion
862;4.2;Fragil
863;7.6;Sin descripcion
864;2.8;Fragil
865;4.5;Sin descripcion
866;4.0;Fragil
867;8.8;Sin descripcion
868;4.5;Sin descripcion
869;3.3;Fragil
870;3.4;Fragil
871;7.0;Sin descripcion
872;9.9;Sin descripcion
873;4.3;Sin descripcion
874;7.3;Fragil
875;10.0;Fragil
876;2.7;Sin descripcion
877;7.3;Sin descripcion
878;3.0;Fragil
879;9.4;Sin descripcion
880;4.7;Sin descripcion
881;9.8;Fragil
882;9.9;Sin descripcion
883;1.4;Sin descripcion
884;8.2;Fragil
885;8.5;Fragil
886;7.7;Sin descripcion
887;4.5;Sin descripcion
888;6.3;Sin descripcion
889;10.6;Fragil
890;9.9;Sin descripcion
891;9.5;Fragil
892;8.2;Fragil
893;3.6;Fragil
894;5.6;Fragil
895;7.8;Fragil
896;6.6;Fragil
897;8.6;Fragil
898;4.0;Fragil
899;5.9;Fragil
900;9.5;Fragil
901;4.9;Fragil
902;1.7;Sin descripcion
903;8.9;Fragil
904;9.5;Fragil
905;1.3;Sin descripcion
906;6.9;Sin descripcion
907;5.5;Sin descripcion
908;6.6;Fragil
909;2.3;Fragil
910;4.4;Sin descripcion
911;2.8;Sin descripcion
912;7.4;Sin descripcion
913;9.5;Fragil
914;8.7;Fragil
915;10.0;Sin descripcion
916;2.3;Fragil
917;2.6;Fragil
918;10.5;Fragil
919;10.9;Sin descripcion
920;2.1;Sin descripcion
921;6.9;Sin descripcion
922;3.9;Fragil
923;3.1;Sin descripcion
924;4.8;Fragil
925;6.7;Fragil
926;1.9;Fragil
927;10.3;Fragil
928;9.5;Fragil
929;7.0;Sin descripcion
930;5.8;Fragil
931;10.6;Sin descripcion
932;8.7;Fragil
933;1.2;Sin descripcion
934;9.5;Fragil
935;4.6;Fragil
936;10.4;Sin descripcion
937;2.0;Sin descripcion
938;10.7;Sin descripcion
939;2.7;Sin descripcion
940;10.9;Fragil
941;10.7;Fragil
942;2.0;Sin descripcion
943;10.2;Sin descripcion
944;2.1;Fragil
945;5.2;Fragil
946;3.4;Sin descripcion
947;6.9;Sin descripcion
948;7.9;Fragil
949;8.8;Sin descripcion
950;1.0;Fragil
951;9.8;Fragil
952;5.3;Sin descripcion
953;4.7;Fragil
954;4.7;Sin descripcion
955;7.4;Sin descripcion
956;6.8;Fragil
957;7.5;Fragil
958;1.1;Sin descripcion
959;1.5;Fragil
960;8.5;Fragil
961;10.3;Fragil
962;5.7;Sin descripcion
963;2.4;Fragil
964;6.9;Sin descripcion
965;3.6;Sin descripcion
966;5.5;Fragil
967;3.8;Sin descripcion
968;10.9;Fragil
969;9.0;Fragil
970;9.1;Fragil
971;2.5;Fragil
972;10.9;Fragil
973;8.8;Fragil
974;7.3;Fragil
975;8.7;Fragil
976;7.2;Fragil
977;10.6;Sin descripcion
978;8.6;Fragil
979;2.2;Sin descripcion
980;1.0;Fragil
981;7.3;Sin descripcion
982;10.8;Sin descripcion
983;4.0;Fragil
984;5.7;Sin descripcion
985;3.3;Sin descripcion
986;10.4;Sin descripcion
987;10.6;Fragil
988;2.2;Sin descripcion
989;10.7;Fragil
990;10.3;Fragil
991;6.5;Sin descripcion
992;8.1;Sin descripcion
993;10.3;Fragil
994;3.9;Fragil
995;1.5;Fragil
996;4.5;Fragil
997;2.1;Fragil
998;9.2;Sin descripcion
999;7.3;Fragil
1000;8.6;Fragil
1001;8.4;Sin descripcion
1002;7.4;Fragil
1003;8.9;Fragil
1004;9.3;Sin descripcion
1005;3.7;Sin descripcion
1006;10.9;Fragil
1007;6.0;Fragil
1008;7.6;Sin descripcion
1009;10.7;Sin descripcion
1010;2.8;Fragil
1011;9.7;Fragil
1012;6.6;Sin descripcion
1013;10.6;Fragil
1014;10.8;Fragil
1015;5.2;Fragil
1016;7.5;Sin descripcion
1017;7.5;Sin descripcion
1018;2.7;Sin descripcion
1019;1.7;Fragil
1020;9.1;Fragil
1021;6.7;Sin descripcion
1022;3.9;Sin descripcion
1023;1.9;Sin descripcion
1024;8.7;Sin descripcion
1025;5.1;Fragil
1026;1.7;Sin descripcion
1027;9.8;Sin descripcion
1028;2.8;Fragil
1029;8.8;Fragil
1030;9.1;Sin descripcion
1031;9.7;Fragil
1032;4.9;Fragil
1033;4.6;Fragil
1034;3.7;Fragil
1035;6.0;Fragil
1036;9.3;Fragil
1037;1.9;Sin descripcion
1038;2.2;Fragil
1039;8.2;Fragil
1040;3.6;Fragil
1041;2.0;Sin descripcion
1042;2.9;Fragil
1043;8.9;Sin descripcion
1044;5.3;Fragil
1045;2.3;Sin descripcion
1046;7.8;Sin descripcion
1047;5.4;Sin descripcion
1048;3.2;Sin descripcion
1049;10.5;Fragil
1050;7.0;Sin descripcion
1051;4.4;Sin descripcion
1052;2.4;Sin descripcion
1053;6.2;Sin descripcion
1054;4.2;Fragil
1055;5.2;Fragil
1056;1.6;Sin descripcion
1057;7.4;Sin descripcion
1058;4.5;Sin descripcion
1059;4.3;Fragil
1060;3.0;Fragil
1061;3.1;Sin descripcion
1062;5.8;Sin descripcion
1063;8.4;Fragil
1064;1.6;Fragil
1065;2.0;Fragil
1066;3.8;Fragil
1067;3.0;Fragil
1068;2.7;Fragil
1069;8.8;Fragil
1070;10.7;Fragil
1071;1.6;Sin descripcion
1072;3.2;Sin descripcion
1073;1.6;Sin descripcion
1074;4.1;Sin descripcion
1075;7.9;Sin descripcion
1076;1.0;Fragil
1077;9.1;Sin descripcion
1078;1.4;Fragil
1079;9.5;Fragil
1080;5.9;Fragil
1081;3.0;Sin descripcion
1082;6.6;Fragil
1083;4.0;Sin descripcion
1084;3.6;Fragil
1085;8.9;Fragil
1086;2.5;Sin descripcion
1087;4.7;Fragil
1088;6.7;Fragil
1089;4.5;Sin descripcion
1090;9.4;Sin descripcion
1091;3.3;Fragil
1092;7.6;Sin descripcion
1093;7.1;Fragil
1094;8.6;Sin descripcion
1095;2.1;Sin descripcion
1096;7.0;Sin descripcion
1097;7.5;Sin descripcion
1098;9.6;Fragil
1099;3.8;Sin descripcion
1100;1.1;Sin descripcion
1101;3.4;Fragil
1102;1.8;Fragil
1103;9.8;Fragil
1104;3.1;Sin descripcion
1105;2.2;Fragil
1106;6.2;Fragil
1107;6.4;Fragil
1108;10.0;Fragil
1109;9.5;Sin descripcion
1110;3.6;Sin descripcion
1111;8.7;Fragil
1112;10.5;Sin descripcion
1113;8.5;Fragil
1114;10.3;Sin descripcion
